"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease","hospitalizedCurrently"
2020-03-04,2,0,0,0,0,0,0
2020-03-05,2,0,0,0,0,0,0
2020-03-06,2,0,0,0,0,0,0
2020-03-07,6,0,4,0,0,0,0
2020-03-08,7,0,1,0,0,0,0
2020-03-09,12,0,5,0,0,0,0
2020-03-10,17,0,5,0,0,0,0
2020-03-11,22,0,5,0,0,0,0
2020-03-12,31,0,9,0,0,0,0
2020-03-13,42,1,11,1,0,0,0
2020-03-14,66,1,24,0,0,0,0
2020-03-15,99,1,33,0,0,0,0
2020-03-16,121,1,22,0,0,0,0
2020-03-17,146,1,25,0,0,0,0
2020-03-18,197,1,51,0,0,0,0
2020-03-19,287,10,90,9,0,0,0
2020-03-20,420,13,133,3,0,0,0
2020-03-21,507,14,87,1,0,0,0
2020-03-22,600,23,93,9,0,0,0
2020-03-23,772,25,172,2,0,0,0
2020-03-24,1026,32,254,7,0,0,0
2020-03-25,1247,40,221,8,394,394,0
2020-03-26,1525,48,278,8,473,79,0
2020-03-27,2001,64,476,16,566,93,0
2020-03-28,2366,69,365,5,617,51,0
2020-03-29,2651,80,285,11,666,49,0
2020-03-30,2809,87,158,7,707,41,0
2020-03-31,3929,111,1120,24,833,126,0
2020-04-01,4638,139,709,28,952,119,0
2020-04-02,5348,163,710,24,1056,104,0
2020-04-03,5831,184,483,21,1158,102,0
2020-04-04,6160,201,329,17,1239,81,0
2020-04-05,6647,211,487,10,1283,44,0
2020-04-06,7314,229,667,18,1332,49,0
2020-04-07,8818,329,1504,100,1774,442,0
2020-04-08,9901,362,1083,33,1993,219,0
2020-04-09,10566,379,665,17,2159,166,0
2020-04-10,11483,416,917,37,2351,192,0
2020-04-11,12159,428,676,12,2479,128,0
2020-04-12,12452,433,293,5,2505,26,0
2020-04-13,13315,464,863,31,2589,84,0
2020-04-14,14223,501,908,37,2769,180,0
2020-04-15,14987,552,764,51,2922,153,0
2020-04-16,15669,587,682,35,3108,186,0
2020-04-17,17194,650,1525,63,3324,216,0
2020-04-18,17669,673,475,23,3420,96,0
2020-04-19,18301,687,632,14,3464,44,0
2020-04-20,18947,733,646,46,3550,86,0
2020-04-21,19881,799,934,66,3779,229,0
2020-04-22,20740,836,859,37,3959,180,0
2020-04-23,21512,872,772,36,4069,110,0
2020-04-24,22147,892,635,20,4221,152,0
