"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease"
2020-04-13,611,8,18,2,164,83
2020-04-14,640,9,29,1,164,0
2020-04-15,702,10,62,1,164,0
2020-04-16,728,12,26,2,85,-79
2020-04-17,775,16,47,4,85,0
2020-04-18,785,16,10,0,83,-2
2020-04-19,890,18,105,2,72,-11
2020-04-20,902,24,12,6,77,5
2020-04-21,908,26,6,2,85,8
2020-04-22,939,27,31,1,103,18
2020-04-23,981,31,42,4,108,5
2020-04-24,1010,32,29,1,97,-11
2020-04-25,1010,32,0,0,97,0
2020-04-26,1055,34,45,2,100,3
2020-04-27,1063,34,8,0,100,0
2020-04-28,1095,38,32,4,0,0
2020-04-29,1110,38,15,0,0,0
2020-04-30,1125,41,15,3,0,0
2020-05-01,1152,46,27,5,0,0
2020-05-02,1185,48,33,2,0,0
2020-05-03,1195,48,10,0,0,0
2020-05-04,1224,48,29,0,0,0
2020-05-05,1246,48,22,0,0,0
2020-05-06,1242,50,-4,2,0,0
2020-05-07,1287,51,45,1,0,0
2020-05-08,1323,52,36,1,0,0
2020-05-09,1323,52,0,0,0,0
2020-05-10,1360,54,37,2,0,0
2020-05-11,1366,54,6,0,0,0
2020-05-12,1378,58,12,4,0,0
2020-05-13,1398,58,20,0,0,0
2020-05-14,1427,60,29,2,0,0
2020-05-15,1447,64,20,4,0,0
2020-05-16,1470,64,23,0,0,0
2020-05-17,1492,67,22,3,0,0
2020-05-18,1502,68,10,1,0,0
2020-05-19,1502,68,0,0,0,0
2020-05-20,1567,69,65,1,0,0
2020-05-21,1593,70,26,1,0,0
2020-05-22,1705,72,112,2,0,0
2020-05-23,1705,72,0,0,0,0
2020-05-24,1759,72,54,0,0,0
2020-05-25,1774,72,15,0,0,0
2020-05-26,1774,72,0,0,0,0
2020-05-27,1899,74,125,2,0,0
2020-05-28,1935,74,36,0,0,0
2020-05-29,1951,74,16,0,0,0
2020-05-30,1989,75,38,1,0,0
2020-05-31,2010,75,21,0,0,0
2020-06-01,2028,76,18,1,0,0
2020-06-02,2056,78,28,2,0,0
2020-06-03,2077,78,21,0,0,0
2020-06-04,2102,79,25,1,0,0
2020-06-05,2119,84,17,5,0,0
2020-06-06,2136,84,17,0,0,0
2020-06-07,2144,84,8,0,0,0
2020-06-08,2161,84,17,0,0,0
2020-06-09,2169,84,8,0,0,0
2020-06-10,2194,85,25,1,0,0
2020-06-11,2217,86,23,1,0,0
2020-06-12,2249,88,32,2,0,0
2020-06-13,2274,88,25,0,0,0
2020-06-14,2290,88,16,0,0,0
2020-06-15,2322,88,32,0,0,0
