"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease"
2020-04-13,64584,2443,2734,93,7781,177
2020-04-14,68824,2805,4240,362,8185,404
2020-04-15,71030,3156,2206,351,8270,85
2020-04-16,75317,3518,4287,362,8224,-46
2020-04-17,78467,3840,3150,322,8011,-213
2020-04-18,81420,4070,2953,230,7718,-293
2020-04-19,85301,4362,3881,292,7494,-224
2020-04-20,88722,4496,3421,134,6986,-508
2020-04-21,92387,4753,3665,257,7594,608
2020-04-22,95914,5150,3527,397,7210,-384
2020-04-23,100025,5426,4111,276,7240,30
2020-04-24,102196,5683,2171,257,6847,-393
2020-04-25,105498,5914,3302,231,6722,-125
2020-04-26,109038,5938,3540,24,6573,-149
2020-04-27,111188,6044,2150,106,6407,-166
2020-04-28,113856,6442,2668,398,0,0
2020-04-29,116365,6771,2509,329,0,0
2020-04-30,118652,7228,2287,457,0,0
2020-05-01,121203,7538,2551,310,0,0
2020-05-02,123735,7742,2532,204,0,0
2020-05-03,126763,7871,3028,129,0,0
2020-05-04,128296,7910,1533,39,0,0
2020-05-05,130628,8244,2332,334,0,0
2020-05-06,131928,8549,1300,305,0,0
2020-05-07,134037,8807,2109,258,0,0
2020-05-08,135899,8960,1862,153,0,0
2020-05-09,137464,9116,1565,156,0,0
2020-05-10,138823,9256,1359,140,0,0
2020-05-11,140289,9340,1466,84,0,0
2020-05-12,141016,9531,727,191,0,0
2020-05-13,141673,9714,657,183,0,0
2020-05-14,142834,9946,1161,232,0,0
2020-05-15,144124,10148,1290,202,0,0
2020-05-16,145233,10261,1109,113,0,0
2020-05-17,146653,10363,1420,102,0,0
2020-05-18,148401,10439,1748,76,0,0
2020-05-19,149533,10587,1132,148,0,0
2020-05-20,150976,10749,1443,162,0,0
2020-05-21,151802,10846,826,97,0,0
2020-05-22,152818,10985,1016,139,0,0
2020-05-23,153383,11082,565,97,0,0
2020-05-24,154402,11138,1019,56,0,0
2020-05-25,155343,11147,941,9,0,0
2020-05-26,156030,11194,687,47,16373,0
2020-05-27,156909,11339,879,145,16597,224
2020-05-28,157485,11409,576,70,16778,181
2020-05-29,159152,11531,1667,122,16960,182
2020-05-30,159922,11634,770,103,17121,161
2020-05-31,160760,11698,838,64,17197,76
2020-06-01,161246,11723,486,25,17222,25
2020-06-02,161904,11771,658,48,17390,168
2020-06-03,162445,11880,541,109,17390,0
2020-06-04,162923,11970,478,90,17604,214
2020-06-05,163748,12049,825,79,17880,276
2020-06-06,164314,12106,566,57,18023,143
2020-06-07,164593,12176,279,70,18050,27
2020-06-08,164941,12214,348,38,18050,0
