"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease","hospitalizedCurrently"
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,3,0,3,0,0,0,0
2020-03-10,3,0,0,0,0,0,0
2020-03-11,4,0,1,0,0,0,0
2020-03-12,5,0,1,0,0,0,0
2020-03-13,13,0,8,0,0,0,0
2020-03-14,13,0,0,0,0,0,0
2020-03-15,36,0,23,0,0,0,0
2020-03-16,50,0,14,0,0,0,0
2020-03-17,67,0,17,0,0,0,0
2020-03-18,88,0,21,0,0,0,0
2020-03-19,119,0,31,0,0,0,0
2020-03-20,169,1,50,1,0,0,0
2020-03-21,247,3,78,2,58,58,0
2020-03-22,351,3,104,0,83,25,0
2020-03-23,442,6,91,3,104,21,0
2020-03-24,564,8,122,2,145,41,0
2020-03-25,704,10,140,2,182,37,0
2020-03-26,867,15,163,5,223,41,0
2020-03-27,1137,19,270,4,276,53,0
2020-03-28,1406,25,269,6,344,68,0
2020-03-29,1653,29,247,4,403,59,0
2020-03-30,1933,39,280,10,475,72,0
2020-03-31,2199,55,266,16,585,110,0
2020-04-01,2547,65,348,10,679,94,0
2020-04-02,2902,81,355,16,802,123,0
2020-04-03,3312,91,410,10,895,93,0
2020-04-04,3739,102,427,11,1006,111,0
2020-04-05,4043,119,304,17,1104,98,0
2020-04-06,4450,142,407,23,1214,110,0
2020-04-07,4782,167,332,25,1354,140,0
2020-04-08,5148,193,366,26,1495,141,0
2020-04-09,5512,213,364,20,1612,117,0
2020-04-10,5878,231,366,18,1755,143,0
2020-04-11,6250,247,372,16,1859,104,0
2020-04-12,6604,253,354,6,1948,89,0
2020-04-13,6975,274,371,21,2033,85,0
2020-04-14,7280,324,305,50,2156,123,0
2020-04-15,7791,361,511,37,2237,81,0
2020-04-16,8414,389,623,28,2331,94,0
2020-04-17,9107,418,693,29,2424,93,0
2020-04-18,10222,451,1115,33,2519,95,0
2020-04-19,11602,471,1380,20,2565,46,0
2020-04-20,12919,509,1317,38,2653,88,0
2020-04-21,13725,557,806,48,2779,126,0
2020-04-22,14117,610,392,53,2882,103,0
2020-04-23,14694,656,577,46,2960,78,0
2020-04-24,15169,690,475,34,3053,93,0
2020-04-25,15587,711,418,21,3115,62,0
2020-04-26,15963,728,376,17,3178,63,0
2020-04-27,16325,753,362,25,3232,54,0
2020-04-28,16769,799,444,46,3340,108,0
2020-04-29,17303,937,534,138,3421,81,0
2020-04-30,18027,975,724,38,3533,112,0
2020-05-01,18743,1002,716,27,3634,101,0
2020-05-02,19335,1021,592,19,3712,78,1003
2020-05-03,19914,1038,579,17,3769,57,931
2020-05-04,20474,1056,560,18,3809,40,1078
2020-05-05,20969,1135,495,79,3956,147,1069
2020-05-06,21576,1225,607,90,4052,96,1045
2020-05-07,22131,1271,555,46,4140,88,1057
2020-05-08,23016,1306,885,35,4218,78,1060
2020-05-09,23697,1331,681,25,4300,82,929
2020-05-10,24081,1341,384,10,4351,51,962
2020-05-11,24777,1357,696,16,4413,62,1011
2020-05-12,25250,1436,473,79,4539,126,1032
2020-05-13,25721,1483,471,47,4618,79,924
2020-05-14,26357,1534,636,51,4718,100,953
2020-05-15,26954,1581,597,47,4791,73,944
2020-05-16,27474,1610,520,29,4870,79,866
2020-05-17,27923,1625,449,15,4921,51,914
2020-05-18,28454,1657,531,32,4998,77,912
2020-05-19,28952,1720,498,63,5117,119,913
2020-05-20,29436,1781,484,61,5198,81,902
2020-05-21,30167,1836,731,55,5295,97,892
2020-05-22,30794,1872,627,36,5379,84,879
2020-05-23,31408,1956,614,84,5437,58,858
2020-05-24,31911,1969,503,13,5476,39,864
2020-05-25,32477,1987,566,18,5511,35,872
2020-05-26,33006,2002,529,15,5579,68,937
2020-05-27,33439,2044,433,42,5700,121,885
2020-05-28,33915,2098,476,54,5811,111,812
2020-05-29,34566,2131,651,33,5947,136,833
2020-05-30,35034,2149,468,18,6011,64,806
2020-05-31,35513,2155,479,6,6049,38,779
2020-06-01,35984,2206,471,51,6112,63,761
2020-06-02,36350,2258,366,52,6176,64,697
2020-06-03,36792,2299,442,41,6251,75,704
2020-06-04,37282,2339,490,40,6312,61,693
2020-06-05,37758,2355,476,16,6385,73,671
2020-06-06,38111,2370,353,15,6460,75,628
2020-06-07,38476,2377,365,7,6497,37,603
2020-06-08,38837,2404,361,27,6550,53,644
2020-06-09,39162,2421,325,17,6620,70,639
2020-06-10,39575,2457,413,36,6693,73,575
2020-06-11,40004,2490,429,33,6753,60,563
2020-06-12,40424,2508,420,18,6814,61,547
2020-06-13,40848,2554,424,46,6864,50,516
2020-06-14,41148,2557,300,3,6895,31,511
2020-06-15,41576,2573,428,16,6948,53,513
2020-06-16,42010,2597,434,24,7007,59,528
2020-06-17,42422,2611,412,14,7051,44,541
2020-06-18,43122,2633,700,22,7104,53,547
2020-06-19,43731,2667,609,34,7167,63,525
2020-06-20,44262,2697,531,30,7201,34,482
2020-06-21,44808,2700,546,3,7242,41,496
2020-06-22,45537,2704,729,4,7292,50,549
2020-06-23,46127,2735,590,31,7379,87,570
2020-06-24,46759,2755,632,20,7447,68,592
2020-06-25,47651,2772,892,17,7502,55,624
2020-06-26,48638,2788,987,16,7570,68,624
2020-06-27,49455,2804,817,16,7624,54,561
2020-06-28,50309,2807,854,3,7681,57,661
2020-06-29,51046,2818,737,11,7746,65,669
2020-06-30,51789,2863,743,45,7839,93,722
2020-07-01,52865,2876,1076,13,7911,72,724
2020-07-02,54166,2903,1301,27,8038,127,724
2020-07-03,55257,2903,1091,0,8084,46,740
2020-07-04,56183,2907,926,4,8111,27,691
2020-07-05,57151,2911,968,4,8172,61,693
2020-07-06,57956,2927,805,16,8249,77,837
2020-07-07,58904,2970,948,43,8383,134,849
2020-07-08,60181,2991,1277,21,8489,106,890
2020-07-09,61331,3006,1150,15,8570,81,890
2020-07-10,62856,3032,1525,26,8701,131,928
2020-07-11,64214,3036,1358,4,8770,69,928
2020-07-12,65592,3058,1378,22,8842,72,954
2020-07-13,66853,3064,1261,6,8915,73,949
2020-07-14,67995,3069,1142,5,9049,134,1017
2020-07-15,69311,3075,1316,6,9209,160,1027
2020-07-16,70601,3103,1290,28,9324,115,1024
2020-07-17,72280,3112,1679,9,9445,121,1016
2020-07-18,73822,3132,1542,20,9513,68,1024
2020-07-19,74932,3174,1110,42,9555,42,1065
2020-07-20,76168,3189,1236,15,9610,55,1065
2020-07-21,77215,3219,1047,30,9736,126,1097
2020-07-22,78742,3235,1527,16,9864,128,1098
2020-07-23,80186,3256,1444,21,9968,104,1105
2020-07-24,81746,3297,1560,41,10072,104,1085
2020-07-25,83184,3297,1438,0,10145,73,1054
2020-07-26,84073,3307,889,10,10199,54,1075
2020-07-27,85177,3344,1104,37,10285,86,1110
2020-07-28,86497,3382,1320,38,10425,140,1144
2020-07-29,87893,3422,1396,40,10553,128,1100
2020-07-30,89626,3442,1733,20,10678,125,1049
2020-07-31,91159,3489,1533,47,10790,112,1024
2020-08-01,92087,3515,928,26,10857,67,1049
2020-08-02,93031,3529,944,14,10900,43,1049
2020-08-03,93963,3539,932,10,10992,92,1001
2020-08-04,95106,3570,1143,31,11119,127,1038
2020-08-05,96305,3596,1199,26,11231,112,1004
2020-08-06,97471,3618,1166,22,11366,135,979
2020-08-07,98675,3652,1204,34,11447,81,956
2020-08-08,99969,3668,1294,16,11516,69,936
2020-08-09,100848,3669,879,1,11565,49,952
2020-08-10,101731,3673,883,4,11629,64,968
2020-08-11,102826,3708,1095,35,11760,131,968
2020-08-12,104248,3734,1422,26,11901,141,984
