"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease","hospitalizedCurrently"
2020-03-16,5,0,0,0,0,0,0
2020-03-17,5,0,0,0,0,0,0
2020-03-18,5,0,0,0,0,0,0
2020-03-19,5,0,0,0,0,0,0
2020-03-20,14,0,9,0,0,0,0
2020-03-21,21,0,7,0,0,0,0
2020-03-22,23,1,2,1,0,0,0
2020-03-23,31,2,8,1,0,0,0
2020-03-24,39,2,8,0,0,0,0
2020-03-25,51,2,12,0,0,0,0
2020-03-26,64,2,13,0,0,0,0
2020-03-27,79,3,15,1,0,0,0
2020-03-28,100,3,21,0,0,0,0
2020-03-29,127,5,27,2,0,0,0
2020-03-30,174,6,47,1,0,0,0
2020-03-31,239,8,65,2,0,0,0
2020-04-01,286,11,47,3,0,0,0
2020-04-02,316,12,30,1,0,0,0
2020-04-03,378,15,62,3,0,0,0
2020-04-04,452,18,74,3,0,0,0
2020-04-05,475,20,23,2,0,0,0
2020-04-06,513,21,38,1,0,0,0
2020-04-07,573,23,60,2,0,0,0
2020-04-08,620,24,47,1,0,0,0
2020-04-09,683,33,63,9,0,0,0
2020-04-10,725,39,42,6,0,0,0
2020-04-11,788,42,63,3,0,0,0
2020-04-12,897,44,109,2,0,0,0
2020-04-13,903,45,6,1,0,0,0
2020-04-14,923,45,20,0,0,0,0
2020-04-15,974,51,51,6,0,0,0
2020-04-16,1043,56,69,5,0,0,0
2020-04-17,1068,58,25,2,0,0,0
2020-04-18,1118,60,50,2,0,0,165
2020-04-19,1213,62,95,2,0,0,160
2020-04-20,1252,63,39,1,0,0,151
2020-04-21,1298,64,46,1,0,0,117
2020-04-22,915,67,-383,3,0,0,140
2020-04-23,915,69,0,2,0,0,154
2020-04-24,1276,77,361,8,0,0,172
2020-04-25,1307,83,31,6,0,0,137
2020-04-26,1371,84,64,1,0,0,146
2020-04-27,1389,84,18,0,0,0,140
2020-04-28,1400,86,11,2,0,0,132
2020-04-29,1433,86,33,0,0,0,125
2020-04-30,1539,92,106,6,0,0,201
2020-05-01,1575,92,36,0,0,0,200
2020-05-02,1757,95,182,3,0,0,187
2020-05-03,1808,97,51,2,0,0,171
2020-05-04,1843,97,35,0,0,0,152
2020-05-05,1924,99,81,2,0,0,140
2020-05-06,1968,99,44,0,0,0,144
2020-05-07,2031,102,63,3,0,0,164
2020-05-08,2156,107,125,5,0,0,161
2020-05-09,2173,108,17,1,0,0,148
2020-05-10,2198,111,25,3,0,0,143
2020-05-11,2256,113,58,2,0,0,159
2020-05-12,2299,114,43,1,0,0,127
2020-05-13,2329,115,30,1,0,0,142
2020-05-14,2427,117,98,2,0,0,159
2020-05-15,2542,122,115,5,0,0,147
2020-05-16,2589,122,47,0,0,0,144
2020-05-17,2646,123,57,1,0,0,150
2020-05-18,2710,124,64,1,0,0,147
2020-05-19,2805,124,95,0,0,0,121
2020-05-20,2866,125,61,1,0,0,110
2020-05-21,2913,126,47,1,0,0,114
