"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease"
2020-04-13,868,6,138,0,44,1
2020-04-14,988,6,120,0,45,1
2020-04-15,1168,6,180,0,51,6
2020-04-16,1311,7,143,1,55,4
2020-04-17,1411,7,100,0,63,8
2020-04-18,1542,7,131,0,68,5
2020-04-19,1635,7,93,0,74,6
2020-04-20,1685,7,50,0,87,13
2020-04-21,1755,8,70,1,100,13
2020-04-22,1858,9,103,1,111,11
2020-04-23,1956,9,98,0,119,8
2020-04-24,2040,10,84,1,124,5
2020-04-25,2147,10,107,0,128,4
2020-04-26,2212,11,65,1,135,7
2020-04-27,2244,11,32,0,150,15
2020-04-28,2313,11,69,0,157,7
2020-04-29,2373,13,60,2,165,8
2020-04-30,2449,17,76,4,173,8
2020-05-01,2525,21,76,4,179,6
2020-05-02,2588,21,63,0,187,8
2020-05-03,2631,21,43,0,197,10
2020-05-04,2668,21,37,0,211,14
2020-05-05,2721,24,53,3,220,9
2020-05-06,2780,29,59,5,230,10
2020-05-07,2906,31,126,2,236,6
2020-05-08,3145,31,239,0,247,11
2020-05-09,3393,34,248,3,253,6
2020-05-10,3517,34,124,0,261,8
2020-05-11,3614,34,97,0,263,2
2020-05-12,3663,39,49,5,271,8
2020-05-13,3732,39,69,0,281,10
2020-05-14,3792,43,60,4,290,9
2020-05-15,3887,44,95,1,296,6
2020-05-16,3959,44,72,0,304,8
2020-05-17,3987,44,28,0,312,8
2020-05-18,4027,44,40,0,316,4
2020-05-19,4085,46,58,2,327,11
2020-05-20,4177,46,92,0,333,6
2020-05-21,4177,48,0,2,342,9
2020-05-22,4356,50,179,2,351,9
2020-05-23,4464,50,108,0,358,7
2020-05-24,4563,50,99,0,364,6
2020-05-25,4586,50,23,0,370,6
2020-05-26,4653,50,67,0,378,8
2020-05-27,4710,54,57,4,391,13
2020-05-28,4793,54,83,0,406,15
2020-05-29,4866,59,73,5,418,12
2020-05-30,4960,62,94,3,427,9
2020-05-31,4993,62,33,0,432,5
2020-06-01,5034,62,41,0,435,3
2020-06-02,5067,62,33,0,443,8
2020-06-03,5162,62,95,0,456,13
2020-06-04,5247,64,85,2,464,8
2020-06-05,5277,64,30,0,467,3
2020-06-06,5367,65,90,1,474,7
2020-06-07,5438,65,71,0,478,4
2020-06-08,5471,65,33,0,482,4
2020-06-09,5523,68,52,3,487,5
2020-06-10,5604,69,81,1,503,16
2020-06-11,5665,73,61,4,514,11
2020-06-12,5742,74,77,1,525,11
2020-06-13,5833,75,91,1,531,6
2020-06-14,5898,75,65,0,539,8
2020-06-15,5928,75,30,0,544,5
2020-06-16,5966,77,38,2,562,18
2020-06-17,6050,78,84,1,570,8
2020-06-18,6109,78,59,0,585,15
2020-06-19,6158,81,49,3,589,4
2020-06-20,6225,81,67,0,598,9
2020-06-21,6297,81,72,0,608,10
2020-06-22,6326,81,29,0,616,8
2020-06-23,6353,83,27,2,624,8
2020-06-24,6419,84,66,1,629,5
2020-06-25,6479,87,60,3,632,3
2020-06-26,6535,88,56,1,639,7
2020-06-27,6626,91,91,3,645,6
2020-06-28,6681,91,55,0,652,7
2020-06-29,6716,91,35,0,657,5
2020-06-30,6764,91,48,0,666,9
2020-07-01,6826,93,62,2,674,8
2020-07-02,6893,97,67,4,683,9
2020-07-03,6978,97,85,0,687,4
2020-07-04,7028,97,50,0,689,2
2020-07-05,7063,97,35,0,691,2
2020-07-06,7105,97,42,0,692,1
2020-07-07,7163,98,58,1,699,7
2020-07-08,7242,98,79,0,709,10
2020-07-09,7336,101,94,3,718,9
2020-07-10,7401,107,65,6,726,8
2020-07-11,7454,109,53,2,738,12
2020-07-12,7499,109,45,0,738,0
2020-07-13,7524,109,25,0,742,4
2020-07-14,7572,109,48,0,744,2
2020-07-15,7652,111,80,2,752,8
2020-07-16,7694,115,42,4,757,5
2020-07-17,7789,116,95,1,763,6
2020-07-18,7862,116,73,0,771,8
2020-07-19,7906,118,44,2,774,3
2020-07-20,7943,118,37,0,774,0
2020-07-21,8019,118,76,0,776,2
2020-07-22,8077,119,58,1,790,14
2020-07-23,8143,121,66,2,792,2
2020-07-24,8200,122,57,1,796,4
2020-07-25,8305,122,105,0,798,2
2020-07-26,8395,123,90,1,801,3
2020-07-27,8444,123,49,0,806,5
2020-07-28,8492,123,48,0,808,2
2020-07-29,8641,129,149,6,810,2
2020-07-30,8685,129,44,0,815,5
2020-07-31,8764,130,79,1,824,9
2020-08-01,8867,134,103,4,832,8
2020-08-02,8955,135,88,1,835,3
2020-08-03,9020,135,65,0,838,3
2020-08-04,9079,136,59,1,846,8
2020-08-05,9168,137,89,1,856,10
2020-08-06,9273,141,105,4,861,5
2020-08-07,9371,144,98,3,866,5
2020-08-08,9477,146,106,2,871,5
2020-08-09,9605,146,128,0,876,5
2020-08-10,9663,146,58,0,882,6
2020-08-11,9713,146,50,0,887,5
2020-08-12,9815,147,102,1,892,5
2020-08-13,9897,148,82,1,896,4
2020-08-14,10024,150,127,2,903,7
2020-08-15,10118,152,94,2,913,10
2020-08-16,10274,153,156,1,916,3
2020-08-17,10360,153,86,0,921,5
2020-08-18,10441,154,81,1,927,6
2020-08-19,10566,155,125,1,935,8
2020-08-20,10691,157,125,2,940,5
2020-08-21,10884,159,193,2,948,8
2020-08-22,11135,160,251,1,951,3
2020-08-23,11276,161,141,1,959,8
2020-08-24,11425,161,149,0,965,6
2020-08-25,11505,161,80,0,974,9
2020-08-26,11571,162,66,1,981,7
2020-08-27,12194,162,623,0,983,2
2020-08-28,12517,165,323,3,NA,NA
2020-08-29,12942,167,425,2,NA,NA
2020-08-30,13322,167,380,0,NA,NA
2020-08-31,13509,167,187,0,NA,NA
2020-09-01,13749,167,240,0,NA,NA
2020-09-02,14003,169,254,2,NA,NA
2020-09-03,14337,169,334,0,NA,NA
2020-09-04,14596,170,259,1,NA,NA
2020-09-05,14889,173,293,3,NA,NA
2020-09-06,15109,173,220,0,NA,NA
2020-09-07,15300,173,191,0,NA,NA
2020-09-08,15403,173,103,0,NA,NA
2020-09-09,15571,173,168,0,NA,NA
2020-09-10,15834,177,263,4,NA,NA
2020-09-11,16117,177,283,0,NA,NA
2020-09-12,16437,183,320,6,NA,NA
2020-09-13,16638,184,201,1,NA,NA
2020-09-14,16801,184,163,0,NA,NA
2020-09-15,16994,184,193,0,NA,NA
2020-09-16,17291,192,297,8,NA,NA
2020-09-17,17686,193,395,1,NA,NA
2020-09-18,18075,195,389,2,NA,NA
2020-09-19,18444,200,369,5,NA,NA
2020-09-20,18696,202,252,2,NA,NA
2020-09-21,18869,202,173,0,NA,NA
2020-09-22,19189,202,320,0,NA,NA
2020-09-23,19634,202,445,0,NA,NA
2020-09-24,20097,210,463,8,NA,NA
2020-09-25,20554,216,457,6,NA,NA
2020-09-26,21133,218,579,2,NA,NA
2020-09-27,21541,218,408,0,NA,NA
