"date","positive","death","positiveIncrease","deathIncrease"
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,2,0,2,0
2020-03-06,8,0,6,0
2020-03-07,8,0,0,0
2020-03-08,8,0,0,0
2020-03-09,12,0,4,0
2020-03-10,17,0,5,0
2020-03-11,34,0,17,0
2020-03-12,49,1,15,1
2020-03-13,78,2,29,1
2020-03-14,103,2,25,0
2020-03-15,136,2,33,0
2020-03-16,161,2,25,0
2020-03-17,183,3,22,1
2020-03-18,216,3,33,0
2020-03-19,278,5,62,2
2020-03-20,364,5,86,0
2020-03-21,475,6,111,1
2020-03-22,595,7,120,1
2020-03-23,723,7,128,0
2020-03-24,912,11,189,4
2020-03-25,1087,20,175,9
2020-03-26,1430,19,343,-1
2020-03-27,1738,31,308,12
2020-03-28,2061,44,323,13
2020-03-29,2308,47,247,3
2020-03-30,2627,51,319,4
2020-03-31,2966,69,339,18
2020-04-01,3342,79,376,10
2020-04-02,3728,97,386,18
