"date","positive","death","positiveIncrease","deathIncrease"
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,1,0,1,0
2020-03-07,1,0,0,0
2020-03-08,2,0,1,0
2020-03-09,3,0,1,0
2020-03-10,6,0,3,0
2020-03-11,11,0,5,0
2020-03-12,13,0,2,0
2020-03-13,13,0,0,0
2020-03-14,16,0,3,0
2020-03-15,20,0,4,0
2020-03-16,25,1,5,1
2020-03-17,30,2,5,1
2020-03-18,38,2,8,0
2020-03-19,60,2,22,0
2020-03-20,86,3,26,1
2020-03-21,128,4,42,1
2020-03-22,204,6,76,2
2020-03-23,214,7,10,1
2020-03-24,368,12,154,5
2020-03-25,477,14,109,2
2020-03-26,645,17,168,3
2020-03-27,979,25,334,8
2020-03-28,1233,31,254,6
2020-03-29,1513,32,280,1
2020-03-30,1786,35,273,3
2020-03-31,2158,49,372,14
2020-04-01,2564,65,406,16
2020-04-02,3038,78,474,13
2020-04-03,3437,102,399,24
2020-04-04,3953,116,516,14
2020-04-05,4411,127,458,11
2020-04-06,4936,131,525,4
2020-04-07,5510,173,574,42
2020-04-08,5943,203,433,30
2020-04-09,6351,245,408,42
2020-04-10,6907,300,556,55
2020-04-11,7435,330,528,30
2020-04-12,7928,343,493,13
2020-04-13,8359,350,431,7
2020-04-14,8527,387,168,37
2020-04-15,8960,436,433,49
2020-04-16,9542,476,582,40
2020-04-17,10154,522,612,46
2020-04-18,10641,545,487,23
2020-04-19,11211,562,570,17
2020-04-20,11688,577,477,15
2020-04-21,12097,635,409,58
2020-04-22,12438,666,341,31
2020-04-23,13039,706,601,40
2020-04-24,13681,741,642,35
2020-04-25,14399,786,718,45
2020-04-26,15012,813,613,27
2020-04-27,15961,844,949,31
2020-04-28,16588,901,627,57
2020-04-29,17182,964,594,63
2020-04-30,17835,1007,653,43
2020-05-01,18630,1062,795,55
2020-05-02,19295,1115,665,53
2020-05-03,19933,1132,638,17
2020-05-04,20507,1151,574,19
2020-05-05,21033,1211,526,60
2020-05-06,21870,1264,837,53
2020-05-07,22503,1295,633,31
2020-05-08,23146,1328,643,33
2020-05-09,23732,1362,586,34
2020-05-10,24126,1379,394,17
2020-05-11,24627,1411,501,32
2020-05-12,25127,1444,500,33
2020-05-13,25473,1482,346,38
2020-05-14,26053,1508,580,26
2020-05-15,26656,1550,603,42
2020-05-16,27280,1596,624,46
2020-05-17,27778,1607,498,11
