"date","positive","death","positiveIncrease","deathIncrease"
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,1,0,1,0
2020-01-25,1,0,0,0
2020-01-26,1,0,0,0
2020-01-27,1,0,0,0
2020-01-28,1,0,0,0
2020-01-29,1,0,0,0
2020-01-30,1,0,0,0
2020-01-31,2,0,1,0
2020-02-01,2,0,0,0
2020-02-02,2,0,0,0
2020-02-03,2,0,0,0
2020-02-04,2,0,0,0
2020-02-05,2,0,0,0
2020-02-06,2,0,0,0
2020-02-07,2,0,0,0
2020-02-08,2,0,0,0
2020-02-09,2,0,0,0
2020-02-10,2,0,0,0
2020-02-11,2,0,0,0
2020-02-12,2,0,0,0
2020-02-13,2,0,0,0
2020-02-14,2,0,0,0
2020-02-15,2,0,0,0
2020-02-16,2,0,0,0
2020-02-17,2,0,0,0
2020-02-18,2,0,0,0
2020-02-19,2,0,0,0
2020-02-20,2,0,0,0
2020-02-21,2,0,0,0
2020-02-22,2,0,0,0
2020-02-23,2,0,0,0
2020-02-24,2,0,0,0
2020-02-25,2,0,0,0
2020-02-26,2,0,0,0
2020-02-27,2,0,0,0
2020-02-28,2,0,0,0
2020-02-29,2,0,0,0
2020-03-01,3,0,1,0
2020-03-02,4,0,1,0
2020-03-03,4,0,0,0
2020-03-04,4,0,0,0
2020-03-05,5,0,1,0
2020-03-06,5,0,0,0
2020-03-07,6,0,1,0
2020-03-08,7,0,1,0
2020-03-09,7,0,0,0
2020-03-10,12,0,5,0
2020-03-11,25,0,13,0
2020-03-12,32,0,7,0
2020-03-13,46,0,14,0
2020-03-14,64,0,18,0
2020-03-15,66,0,2,0
2020-03-16,83,0,17,0
2020-03-17,161,1,78,1
2020-03-18,272,1,111,0
2020-03-19,416,4,144,3
2020-03-20,418,4,2,0
2020-03-21,750,5,332,1
2020-03-22,1047,6,297,1
2020-03-23,1222,12,175,6
2020-03-24,1537,12,315,0
2020-03-25,1863,19,326,7
2020-03-26,1870,26,7,7
2020-03-27,3024,34,1154,8
2020-03-28,3483,47,459,13
2020-03-29,4588,66,1105,19
2020-03-30,5043,73,455,7
2020-03-31,5976,99,933,26
2020-04-01,6952,141,976,42
2020-04-02,7658,163,706,22
2020-04-03,8489,209,831,46
2020-04-04,10299,243,1810,34
2020-04-05,11197,274,898,31
2020-04-06,12190,306,993,32
2020-04-07,13488,379,1298,73
2020-04-08,15005,461,1517,82
2020-04-09,16354,527,1349,66
2020-04-10,17806,596,1452,69
2020-04-11,19095,677,1289,81
2020-04-12,20751,719,1656,42
