"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease"
2020-04-13,25635,1602,1391,123,3986,350
2020-04-14,27001,1768,1366,166,3910,-76
2020-04-15,28059,1921,1058,153,3918,8
2020-04-16,28809,1996,750,75,3809,-109
2020-04-17,30023,2227,1214,231,3674,-135
2020-04-18,30791,2308,768,81,3634,-40
2020-04-19,31424,2391,633,83,3403,-231
2020-04-20,32000,2468,576,77,3374,-29
2020-04-21,32667,2575,667,107,3357,-17
2020-04-22,33966,2813,1299,238,3305,-52
2020-04-23,35296,2977,1330,164,3611,306
2020-04-24,36641,3085,1345,108,3022,-589
2020-04-25,37074,3155,433,70,2889,-133
2020-04-26,37778,3315,704,160,2757,-132
2020-04-27,38210,3407,432,92,2667,-90
2020-04-28,39262,3568,1052,161,0,0
2020-04-29,40399,3670,1137,102,0,0
2020-04-30,41379,3789,980,119,0,0
2020-05-01,42356,3866,977,77,0,0
2020-05-02,43207,4021,851,155,0,0
2020-05-03,43801,4053,594,32,0,0
2020-05-04,43990,4139,189,86,0,0
2020-05-05,44451,4183,461,44,0,0
2020-05-06,45179,4256,728,73,0,0
2020-05-07,45745,4345,566,89,0,0
2020-05-08,46386,4399,641,54,0,0
2020-05-09,46815,4530,429,131,0,0
2020-05-10,47182,4555,367,25,0,0
2020-05-11,47552,4584,370,29,0,0
2020-05-12,48021,4674,469,90,0,0
2020-05-13,48391,4714,370,40,0,0
2020-05-14,49582,4787,1191,73,0,0
2020-05-15,50079,4825,497,38,0,0
2020-05-16,50538,4881,459,56,0,0
2020-05-17,51142,4891,604,10,0,0
2020-05-18,51915,4915,773,24,0,0
2020-05-19,52350,5017,435,102,0,0
2020-05-20,53009,5060,659,43,0,0
2020-05-21,53510,5129,501,69,0,0
2020-05-22,53913,5158,403,29,0,0
2020-05-23,54365,5223,452,65,0,0
2020-05-24,54679,5228,314,5,0,0
2020-05-25,54881,5241,202,13,0,0
2020-05-26,55104,5266,223,25,0,0
2020-05-27,55608,5334,504,68,0,0
2020-05-28,56014,5372,406,38,0,0
2020-05-29,56621,5406,607,34,0,0
2020-05-30,56969,5464,348,58,0,0
2020-05-31,57397,5491,428,27,0,0
2020-06-01,57532,5516,135,25,0,0
2020-06-02,57731,5553,199,37,0,0
2020-06-03,58035,5570,304,17,0,0
2020-06-04,58241,5595,206,25,0,0
2020-06-05,63777,5854,5536,259,0,0
2020-06-06,64229,5894,452,40,0,0
2020-06-07,64648,5898,419,4,0,0
2020-06-08,64944,5916,296,18,0,0
2020-06-09,64998,5948,54,32,0,0
2020-06-10,65182,5955,184,7,0,0
2020-06-11,65449,5985,267,30,0,0
2020-06-12,65672,5990,223,5,0,0
2020-06-13,65836,6013,164,23,0,0
2020-06-14,66054,6016,218,3,0,0
2020-06-15,66085,6018,31,2,0,0
2020-06-16,66269,6034,184,16,0,0
2020-06-17,66497,6036,228,2,0,0
2020-06-18,66798,6061,301,25,0,0
2020-06-19,67097,6067,299,6,0,0
