"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease"
2020-04-13,2363,13,60,-5,201,6
2020-04-14,2417,18,54,5,213,12
2020-04-15,2548,20,131,2,221,8
2020-04-16,2683,20,135,0,238,17
2020-04-17,2793,23,110,3,244,6
2020-04-18,2917,25,124,2,251,7
2020-04-19,3069,27,152,2,259,8
2020-04-20,3213,28,144,1,268,9
2020-04-21,3297,32,84,4,277,9
2020-04-22,3445,32,148,0,288,11
2020-04-23,3612,35,167,3,301,13
2020-04-24,3782,39,170,4,315,14
2020-04-25,3948,41,166,2,329,14
2020-04-26,4123,41,175,0,345,16
2020-04-27,4236,41,113,0,349,4
2020-04-28,4345,41,109,0,370,21
2020-04-29,4497,45,152,4,383,13
2020-04-30,4672,46,175,1,390,7
2020-05-01,4828,46,156,0,403,13
2020-05-02,4985,49,157,3,418,15
2020-05-03,5175,50,190,1,436,18
2020-05-04,5317,50,142,0,441,5
2020-05-05,5449,56,132,6,456,15
2020-05-06,5595,58,146,2,464,8
2020-05-07,5724,61,129,3,476,12
2020-05-08,5919,61,195,0,488,12
2020-05-09,6103,66,184,5,498,10
2020-05-10,6251,67,148,1,512,14
2020-05-11,6362,68,111,1,517,5
2020-05-12,6432,73,70,5,535,18
2020-05-13,6620,75,188,2,553,18
2020-05-14,6749,75,129,0,558,5
2020-05-15,6913,77,164,2,566,8
2020-05-16,7068,78,155,1,578,12
2020-05-17,7238,80,170,2,586,8
2020-05-18,7384,80,146,0,595,9
2020-05-19,7518,88,134,8,595,0
2020-05-20,7710,90,192,2,631,36
2020-05-21,7874,92,164,2,647,16
2020-05-22,8057,93,183,1,1036,389
2020-05-23,8260,97,203,4,1053,17
2020-05-24,8392,97,132,0,688,-365
2020-05-25,8521,98,129,1,692,4
2020-05-26,8620,101,99,3,696,4
2020-05-27,8706,105,86,4,716,20
2020-05-28,8921,106,215,1,734,18
2020-05-29,9264,107,343,1,753,19
2020-05-30,9533,112,269,5,763,10
2020-05-31,9797,113,264,1,775,12
2020-06-01,9999,113,202,0,789,14
2020-06-02,10202,113,203,0,801,12
2020-06-03,10497,117,295,4,829,28
2020-06-04,10813,117,316,0,850,21
2020-06-05,11252,120,439,3,870,20
2020-06-06,11798,121,546,1,890,20
2020-06-07,12066,121,268,0,900,10
2020-06-08,12322,124,256,3,918,18
2020-06-09,12559,127,237,3,931,13
2020-06-10,12864,128,305,1,954,23
2020-06-11,13252,131,388,3,968,14
2020-06-12,13577,139,325,8,988,20
2020-06-13,13981,139,404,0,1012,24
2020-06-14,14313,139,332,0,1028,16
2020-06-15,14608,143,295,4,1041,13
2020-06-16,14937,145,329,2,1073,32
2020-06-17,15344,149,407,4,1102,29
2020-06-18,15839,152,495,3,1120,18
2020-06-19,16425,155,586,3,1145,25
2020-06-20,17068,155,643,0,1161,16
2020-06-21,17462,158,394,3,1184,23
2020-06-22,17906,158,444,0,1192,8
2020-06-23,18300,163,394,5,1226,34
2020-06-24,18784,163,484,0,1256,30
2020-06-25,19374,164,590,1,1290,34
2020-06-26,20050,166,676,2,1321,31
2020-06-27,20628,167,578,1,1365,44
2020-06-28,21100,167,472,0,1396,31
2020-06-29,21664,168,564,1,1417,21
2020-06-30,22217,172,553,4,1444,27
2020-07-01,22716,173,499,1,1476,32
2020-07-02,23270,176,554,3,1505,29
2020-07-03,23866,181,596,5,1529,24
2020-07-04,24542,181,676,0,1565,36
2020-07-05,24952,184,410,3,1582,17
