"date","positive","death","positiveIncrease","deathIncrease","hospitalized","hospitalizedIncrease"
2020-04-13,504,9,5,0,44,0
2020-04-14,511,9,7,0,44,0
2020-04-15,524,9,13,0,45,1
2020-04-16,530,9,6,0,45,0
2020-04-17,541,9,11,0,45,0
2020-04-18,574,9,33,0,48,3
2020-04-19,580,10,6,1,51,3
2020-04-20,584,10,4,0,52,1
2020-04-21,586,10,2,0,55,3
2020-04-22,592,12,6,2,56,1
2020-04-23,596,12,4,0,63,7
2020-04-24,601,13,5,1,67,4
2020-04-25,605,13,4,0,67,0
2020-04-26,606,14,1,1,68,1
2020-04-27,607,16,1,2,68,0
2020-04-28,609,16,2,0,68,0
2020-04-29,613,16,4,0,69,1
2020-04-30,618,16,5,0,69,0
2020-05-01,619,16,1,0,70,1
2020-05-02,620,16,1,0,72,2
2020-05-03,620,17,0,1,72,0
2020-05-04,621,17,1,0,73,1
2020-05-05,625,17,4,0,73,0
2020-05-06,626,17,1,0,73,0
2020-05-07,629,17,3,0,74,1
2020-05-08,629,17,0,0,74,0
2020-05-09,631,17,2,0,81,7
2020-05-10,632,17,1,0,81,0
2020-05-11,634,17,2,0,81,0
2020-05-12,635,17,1,0,81,0
2020-05-13,638,17,3,0,81,0
2020-05-14,637,17,-1,0,81,0
2020-05-15,638,17,1,0,81,0
2020-05-16,639,17,1,0,81,0
2020-05-17,640,17,1,0,82,1
2020-05-18,640,17,0,0,82,0
2020-05-19,641,17,1,0,82,0
2020-05-20,643,17,2,0,82,0
2020-05-21,647,17,4,0,82,0
2020-05-22,642,17,-5,0,83,1
2020-05-23,643,17,1,0,84,1
2020-05-24,643,17,0,0,84,0
2020-05-25,643,17,0,0,84,0
2020-05-26,643,17,0,0,84,0
2020-05-27,644,17,1,0,83,-1
2020-05-28,647,17,3,0,83,0
2020-05-29,649,17,2,0,83,0
2020-05-30,651,17,2,0,83,0
2020-05-31,652,17,1,0,83,0
2020-06-01,652,17,0,0,83,0
2020-06-02,653,17,1,0,83,0
2020-06-03,653,17,0,0,83,0
2020-06-04,655,17,2,0,83,0
2020-06-05,664,17,9,0,83,0
2020-06-06,673,17,9,0,83,0
2020-06-07,675,17,2,0,83,0
2020-06-08,676,17,1,0,84,1
2020-06-09,682,17,6,0,84,0
2020-06-10,685,17,3,0,84,0
2020-06-11,692,17,7,0,85,1
2020-06-12,706,17,14,0,86,1
2020-06-13,723,17,17,0,87,1
2020-06-14,728,17,5,0,89,2
2020-06-15,736,17,8,0,91,2
2020-06-16,736,17,0,0,91,0
2020-06-17,744,17,8,0,92,1
2020-06-18,762,17,18,0,95,3
2020-06-19,789,17,27,0,95,0
2020-06-20,789,17,0,0,96,1
2020-06-21,814,17,25,0,96,0
2020-06-22,816,17,2,0,97,1
2020-06-23,819,17,3,0,99,2
2020-06-24,835,17,16,0,104,5
2020-06-25,851,17,16,0,105,1
2020-06-26,866,17,15,0,109,4
2020-06-27,872,18,6,1,109,0
2020-06-28,899,18,27,0,110,1
2020-06-29,900,18,1,0,111,1
2020-06-30,917,18,17,0,111,0
2020-07-01,926,18,9,0,113,2
2020-07-02,946,18,20,0,116,3
2020-07-03,975,19,29,1,116,0
2020-07-04,999,19,24,0,118,2
2020-07-05,1023,19,24,0,118,0
2020-07-06,1030,19,7,0,118,0
2020-07-07,1071,19,41,0,119,1
2020-07-08,1094,19,23,0,119,0
2020-07-09,1130,19,36,0,122,3
2020-07-10,1158,19,28,0,123,1
2020-07-11,1200,19,42,0,125,2
2020-07-12,1220,19,20,0,125,0
2020-07-13,1243,22,23,3,125,0
2020-07-14,1264,22,21,0,128,3
2020-07-15,1292,22,28,0,133,5
2020-07-16,1311,22,19,0,137,4
2020-07-17,1334,23,23,1,138,1
2020-07-18,1354,24,20,1,139,1
2020-07-19,1381,24,27,0,140,1
2020-07-20,1393,24,12,0,150,10
2020-07-21,1418,24,25,0,150,0
2020-07-22,1435,25,17,1,151,1
2020-07-23,1490,26,55,1,154,3
2020-07-24,1549,26,59,0,155,1
2020-07-25,1620,26,71,0,156,1
2020-07-26,1683,26,63,0,161,5
2020-07-27,1711,26,28,0,163,2
2020-07-28,1757,26,46,0,165,2
2020-07-29,1865,26,108,0,167,2
2020-07-30,1989,26,124,0,173,6
2020-07-31,2111,26,122,0,177,4
2020-08-01,2197,26,86,0,179,2
2020-08-02,2242,26,45,0,194,15
2020-08-03,2448,26,206,0,199,5
2020-08-04,2591,27,143,1,201,2
2020-08-05,2763,27,172,0,208,7
2020-08-06,2914,29,151,2,214,6
2020-08-07,3115,31,201,2,225,11
2020-08-08,3346,31,231,0,231,6
2020-08-09,3498,31,152,0,237,6
2020-08-10,3638,34,140,3,239,2
2020-08-11,3756,34,118,0,242,3
2020-08-12,3958,38,202,4,260,18
2020-08-13,4312,40,354,2,267,7
2020-08-14,4543,40,231,0,267,0
2020-08-15,4825,40,282,0,277,10
2020-08-16,5042,40,217,0,279,2
2020-08-17,5215,40,173,0,283,4
2020-08-18,5349,41,134,1,288,5
2020-08-19,5609,42,260,1,303,15
2020-08-20,5844,45,235,3,317,14
2020-08-21,6072,46,228,1,317,0
2020-08-22,6356,47,284,1,337,20
2020-08-23,6600,47,244,0,377,40
2020-08-24,6769,49,169,2,396,19
2020-08-25,6984,49,215,0,419,23
2020-08-26,7260,51,276,2,419,0
2020-08-27,7566,55,306,4,444,25
2020-08-28,7830,59,264,4,NA,NA
2020-08-29,8139,62,309,3,NA,NA
2020-08-30,8339,63,200,1,NA,NA
2020-08-31,8472,70,133,7,NA,NA
2020-09-01,8653,74,181,4,NA,NA
2020-09-02,8991,75,338,1,NA,NA
2020-09-03,9202,79,211,4,NA,NA
2020-09-04,9473,81,271,2,NA,NA
2020-09-05,9693,84,220,3,NA,NA
2020-09-06,9855,85,162,1,NA,NA
2020-09-07,9959,86,104,1,NA,NA
2020-09-08,10025,88,66,2,NA,NA
2020-09-09,10123,91,98,3,NA,NA
2020-09-10,10292,94,169,3,NA,NA
2020-09-11,10459,96,167,2,NA,NA
2020-09-12,10588,97,129,1,NA,NA
2020-09-13,10700,99,112,2,NA,NA
2020-09-14,10779,99,79,0,NA,NA
2020-09-15,10844,100,65,1,NA,NA
2020-09-16,10946,103,102,3,NA,NA
2020-09-17,11105,107,159,4,NA,NA
2020-09-18,11217,120,112,13,NA,NA
2020-09-19,11326,120,109,0,NA,NA
2020-09-20,11403,120,77,0,NA,NA
2020-09-21,11459,120,56,0,NA,NA
2020-09-22,11522,120,63,0,NA,NA
2020-09-23,11689,122,167,2,NA,NA
2020-09-24,11779,124,90,2,NA,NA
2020-09-25,11891,127,112,3,NA,NA
2020-09-26,12018,131,127,4,NA,NA
2020-09-27,12116,132,98,1,NA,NA
2020-09-28,12203,132,87,0,NA,NA
2020-09-29,12290,134,87,2,NA,NA
2020-09-30,12410,136,120,2,NA,NA
2020-10-01,12515,139,105,3,NA,NA
2020-10-02,12601,142,86,3,NA,NA
2020-10-03,12734,153,133,11,NA,NA
2020-10-04,12804,156,70,3,NA,NA
2020-10-05,12854,157,50,1,NA,NA
2020-10-06,12937,160,83,3,NA,NA
2020-10-07,13045,163,108,3,NA,NA
2020-10-08,13146,164,101,1,NA,NA
2020-10-09,13300,166,154,2,NA,NA
2020-10-10,13371,168,71,2,NA,NA
